['TIL-103D', '17:40', '19:00', 'Monday']
['TIL-103D', '17:40', '19:00', 'Wednesday']
['TIL-103D', '15:50', '17:10', 'Monday']
['TIL-103D', '15:50', '17:10', 'Wednesday']
['SC-216', '15:50', '17:10', 'Tuesday']
['SC-216', '15:50', '17:10', 'Thursday']
['HH-A4', '10:20', '11:40', 'Monday']
['HH-A4', '10:20', '11:40', 'Thursday']
['ABW-2100', '14:00', '15:20', 'Monday']
['ABW-2100', '14:00', '15:20', 'Wednesday']
['ABW-2100', '12:10', '13:30', 'Monday']
['ABW-2100', '12:10', '13:30', 'Thursday']
['SC-221', '10:20', '11:40', 'Monday']
['SC-221', '10:20', '11:40', 'Thursday']
['SPR-403', '10:20', '11:40', 'Monday']
['SPR-403', '10:20', '11:40', 'Thursday']
['SPR-402', '14:00', '15:20', 'Monday']
['SPR-402', '14:00', '15:20', 'Wednesday']
['CA-A1', '15:50', '17:10', 'Monday']
['CA-A1', '15:50', '17:10', 'Wednesday']
['HH-A6', '14:00', '15:20', 'Monday']
['HH-A6', '14:00', '15:20', 'Wednesday']
['HH-A6', '14:00', '15:20', 'Tuesday']
['HH-A6', '14:00', '15:20', 'Thursday']
['FH-A2', '12:10', '13:30', 'Monday']
['FH-A2', '12:10', '13:30', 'Thursday']
['SPR-403', '12:10', '13:30', 'Monday']
['SPR-403', '12:10', '13:30', 'Thursday']
['SPR-402', '10:20', '11:40', 'Monday']
['SPR-402', '10:20', '11:40', 'Thursday']
['MU-204', '14:00', '15:20', 'Monday']
['MU-204', '14:00', '15:20', 'Wednesday']
['SC-214', '10:20', '11:40', 'Monday']
['SC-214', '10:20', '11:40', 'Thursday']
['SC-221', '14:00', '15:20', 'Monday']
['SC-221', '14:00', '15:20', 'Wednesday']
['SC-216', '14:00', '15:20', 'Monday']
['SC-216', '14:00', '15:20', 'Wednesday']
['ABE-3200', '12:10', '13:30', 'Tuesday']
['SPR-403', '13:00', '16:00', 'Friday']
['SPR-402', '12:10', '13:30', 'Monday']
['SPR-402', '12:10', '13:30', 'Thursday']
['SC-207', '15:50', '17:10', 'Monday']
['SC-207', '15:50', '17:10', 'Wednesday']
['SC-119', '12:10', '13:30', 'Thursday']
['LSH-A232', '15:50', '18:50', 'Tuesday']
['BE-101', '12:10', '13:30', 'Monday']
['BE-101', '12:10', '13:30', 'Thursday']
['LSH-B269', '10:20', '11:40', 'Monday']
['LSH-B269', '10:20', '11:40', 'Thursday']
['BE-101', '15:50', '17:10', 'Monday']
['BE-101', '15:50', '17:10', 'Wednesday']
['TIL-253', '14:00', '15:20', 'Monday']
['TIL-253', '14:00', '15:20', 'Wednesday']
['ABE-3200', '14:00', '15:20', 'Tuesday']
['ABE-3200', '14:00', '15:20', 'Thursday']
['LSH-B110', '17:40', '20:40', 'Thursday']
['TIL-246', '17:40', '20:40', 'Tuesday']
['BE-011', '12:10', '13:30', 'Monday']
['BE-011', '12:10', '13:30', 'Thursday']
['TIL-254', '17:40', '19:00', 'Monday']
['TIL-254', '17:40', '19:00', 'Wednesday']
['BE-251', '10:20', '11:40', 'Monday']
['BE-251', '10:20', '11:40', 'Thursday']
['BE-201', '17:40', '19:00', 'Tuesday']
['BE-201', '17:40', '19:00', 'Thursday']
['BE-101', '17:40', '20:40', 'Wednesday']
['FH-A6', '10:20', '11:40', 'Tuesday']
['TIL-103D', '14:00', '15:20', 'Monday']
['TIL-103D', '14:00', '15:20', 'Wednesday']
['BE-121', '12:10', '15:10', 'Tuesday']
['TIL-105', '17:40', '19:00', 'Monday']
['TIL-105', '17:40', '19:00', 'Wednesday']
['LSH-B110', '15:50', '17:10', 'Tuesday']
['LSH-B110', '15:50', '17:10', 'Thursday']
['LSH-B112', '15:50', '17:10', 'Tuesday']
['LSH-B112', '15:50', '17:10', 'Thursday']
['TIL-207', '15:50', '18:50', 'Thursday']
['BE-119', '12:10', '15:10', 'Thursday']
['BE-201', '17:40', '20:40', 'Monday']
['BE-121', '19:30', '20:50', 'Monday']
['BE-121', '19:30', '20:50', 'Wednesday']
['BE-101', '14:00', '15:20', 'Monday']
['BE-101', '14:00', '15:20', 'Wednesday']
['BE-221', '19:30', '22:30', 'Wednesday']
['HH-B2', '10:20', '11:40', 'Tuesday']
['TIL-209', '17:40', '19:00', 'Tuesday']
['TIL-209', '17:40', '19:00', 'Thursday']
['LSH-B111', '14:00', '15:20', 'Tuesday']
['LSH-B111', '14:00', '15:20', 'Thursday']
['TIL-103B', '10:20', '11:40', 'Monday']
['TIL-103B', '10:20', '11:40', 'Thursday']
['BE-111', '15:50', '17:10', 'Monday']
['BE-111', '15:50', '17:10', 'Wednesday']
['LSH-B123', '15:50', '17:10', 'Monday']
['LSH-B123', '15:50', '17:10', 'Wednesday']
['HSB-106', '14:00', '15:20', 'Monday']
['HSB-106', '14:00', '15:20', 'Wednesday']
['RAB-104', '14:00', '15:20', 'Monday']
['RAB-104', '14:00', '15:20', 'Wednesday']
['RAB-206', '10:20', '13:20', 'Tuesday']
['FH-B4', '10:20', '13:20', 'Wednesday']
['RAB-001', '17:40', '19:00', 'Tuesday']
['RAB-001', '17:40', '19:00', 'Thursday']
['RAB-001', '19:30', '20:50', 'Thursday']
['RAB-207', '14:00', '15:20', 'Tuesday']
